constructor_id,constructor_ref,name,nationality,ingestion_date
97,gilby,Gilby,British,2023-08-19T21:49:50.313+05:30
98,stebro,Stebro,Canadian,2023-08-19T21:49:50.313+05:30
99,emeryson,Emeryson,British,2023-08-19T21:49:50.313+05:30
100,enb,ENB,Belgium,2023-08-19T21:49:50.313+05:30
101,jbw,JBW,British,2023-08-19T21:49:50.313+05:30
102,ferguson,Ferguson,British,2023-08-19T21:49:50.313+05:30
103,mbm,MBM,Swiss,2023-08-19T21:49:50.313+05:30
104,behra-porsche,Behra-Porsche,Italian,2023-08-19T21:49:50.313+05:30
105,maserati,Maserati,Italian,2023-08-19T21:49:50.313+05:30
106,scarab,Scarab,American,2023-08-19T21:49:50.313+05:30
107,watson,Watson,American,2023-08-19T21:49:50.313+05:30
108,epperly,Epperly,American,2023-08-19T21:49:50.313+05:30
109,phillips,Phillips,American,2023-08-19T21:49:50.313+05:30
110,lesovsky,Lesovsky,American,2023-08-19T21:49:50.313+05:30
111,trevis,Trevis,American,2023-08-19T21:49:50.313+05:30
112,meskowski,Meskowski,American,2023-08-19T21:49:50.313+05:30
113,kurtis_kraft,Kurtis Kraft,American,2023-08-19T21:49:50.313+05:30
114,kuzma,Kuzma,American,2023-08-19T21:49:50.313+05:30
115,vhristensen,Christensen,American,2023-08-19T21:49:50.313+05:30
116,ewing,Ewing,American,2023-08-19T21:49:50.313+05:30
117,aston_martin,Aston Martin,British,2023-08-19T21:49:50.313+05:30
118,vanwall,Vanwall,British,2023-08-19T21:49:50.313+05:30
119,moore,Moore,American,2023-08-19T21:49:50.313+05:30
120,dunn,Dunn,American,2023-08-19T21:49:50.313+05:30
121,elder,Elder,American,2023-08-19T21:49:50.313+05:30
122,sutton,Sutton,American,2023-08-19T21:49:50.313+05:30
123,fry,Fry,British,2023-08-19T21:49:50.313+05:30
124,tec-mec,Tec-Mec,Italian,2023-08-19T21:49:50.313+05:30
125,connaught,Connaught,British,2023-08-19T21:49:50.313+05:30
126,alta,Alta,British,2023-08-19T21:49:50.313+05:30
127,osca,OSCA,Italian,2023-08-19T21:49:50.313+05:30
128,gordini,Gordini,French,2023-08-19T21:49:50.313+05:30
129,stevens,Stevens,American,2023-08-19T21:49:50.313+05:30
130,bugatti,Bugatti,French,2023-08-19T21:49:50.313+05:30
131,mercedes,Mercedes,German,2023-08-19T21:49:50.313+05:30
132,lancia,Lancia,Italian,2023-08-19T21:49:50.313+05:30
133,hwm,HWM,British,2023-08-19T21:49:50.313+05:30
134,schroeder,Schroeder,American,2023-08-19T21:49:50.313+05:30
135,pawl,Pawl,American,2023-08-19T21:49:50.313+05:30
136,pankratz,Pankratz,American,2023-08-19T21:49:50.313+05:30
137,arzani-volpini,Arzani-Volpini,Italian,2023-08-19T21:49:50.313+05:30
138,nichels,Nichels,American,2023-08-19T21:49:50.313+05:30
139,bromme,Bromme,American,2023-08-19T21:49:50.313+05:30
140,klenk,Klenk,German,2023-08-19T21:49:50.313+05:30
141,simca,Simca,French,2023-08-19T21:49:50.313+05:30
142,turner,Turner,American,2023-08-19T21:49:50.313+05:30
143,del_roy,Del Roy,American,2023-08-19T21:49:50.313+05:30
144,veritas,Veritas,German,2023-08-19T21:49:50.313+05:30
145,bmw,BMW,German,2023-08-19T21:49:50.313+05:30
146,emw,EMW,East German,2023-08-19T21:49:50.313+05:30
147,afm,AFM,German,2023-08-19T21:49:50.313+05:30
148,frazer_nash,Frazer Nash,British,2023-08-19T21:49:50.313+05:30
149,sherman,Sherman,American,2023-08-19T21:49:50.313+05:30
150,deidt,Deidt,American,2023-08-19T21:49:50.313+05:30
151,era,ERA,British,2023-08-19T21:49:50.313+05:30
152,butterworth,Aston Butterworth,British,2023-08-19T21:49:50.313+05:30
153,cisitalia,Cisitalia,Italian,2023-08-19T21:49:50.313+05:30
154,lago,Talbot-Lago,French,2023-08-19T21:49:50.313+05:30
155,hall,Hall,American,2023-08-19T21:49:50.313+05:30
156,marchese,Marchese,American,2023-08-19T21:49:50.313+05:30
157,langley,Langley,American,2023-08-19T21:49:50.313+05:30
158,rae,Rae,American,2023-08-19T21:49:50.313+05:30
159,olson,Olson,American,2023-08-19T21:49:50.313+05:30
160,wetteroth,Wetteroth,American,2023-08-19T21:49:50.313+05:30
161,adams,Adams,American,2023-08-19T21:49:50.313+05:30
162,snowberger,Snowberger,American,2023-08-19T21:49:50.313+05:30
163,milano,Milano,Italian,2023-08-19T21:49:50.313+05:30
164,hrt,HRT,Spanish,2023-08-19T21:49:50.313+05:30
167,cooper-maserati,Cooper-Maserati,British,2023-08-19T21:49:50.313+05:30
166,virgin,Virgin,British,2023-08-19T21:49:50.313+05:30
168,cooper-osca,Cooper-OSCA,British,2023-08-19T21:49:50.313+05:30
169,cooper-borgward,Cooper-Borgward,British,2023-08-19T21:49:50.313+05:30
170,cooper-climax,Cooper-Climax,British,2023-08-19T21:49:50.313+05:30
171,cooper-castellotti,Cooper-Castellotti,British,2023-08-19T21:49:50.313+05:30
172,lotus-climax,Lotus-Climax,British,2023-08-19T21:49:50.313+05:30
173,lotus-maserati,Lotus-Maserati,British,2023-08-19T21:49:50.313+05:30
174,de_tomaso-osca,De Tomaso-Osca,Italian,2023-08-19T21:49:50.313+05:30
175,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,2023-08-19T21:49:50.313+05:30
176,lotus-brm,Lotus-BRM,British,2023-08-19T21:49:50.313+05:30
177,lotus-borgward,Lotus-Borgward,British,2023-08-19T21:49:50.313+05:30
178,cooper-alfa_romeo,Cooper-Alfa Romeo,British,2023-08-19T21:49:50.313+05:30
179,de_tomaso-ferrari,De Tomaso-Ferrari,Italian,2023-08-19T21:49:50.313+05:30
180,lotus-ford,Lotus-Ford,British,2023-08-19T21:49:50.313+05:30
181,brabham-brm,Brabham-BRM,British,2023-08-19T21:49:50.313+05:30
182,brabham-ford,Brabham-Ford,British,2023-08-19T21:49:50.313+05:30
