race_id,round,circuit_id,name,ingestion_date,race_timestamp,race_year
1053,2,21,Emilia Romagna Grand Prix,2023-08-19T21:45:55.991+05:30,2021-04-18T13:00:00.000+05:30,2021
1052,1,3,Bahrain Grand Prix,2023-08-19T21:45:55.991+05:30,2021-03-28T15:00:00.000+05:30,2021
1051,21,1,Australian Grand Prix,2023-08-19T21:45:55.991+05:30,2021-11-21T06:00:00.000+05:30,2021
1054,3,20,TBC,2023-08-19T21:45:55.991+05:30,"",2021
1055,4,4,Spanish Grand Prix,2023-08-19T21:45:55.991+05:30,2021-05-09T13:00:00.000+05:30,2021
1056,5,6,Monaco Grand Prix,2023-08-19T21:45:55.991+05:30,2021-05-23T13:00:00.000+05:30,2021
1057,6,73,Azerbaijan Grand Prix,2023-08-19T21:45:55.991+05:30,2021-06-06T12:00:00.000+05:30,2021
1058,7,7,Canadian Grand Prix,2023-08-19T21:45:55.991+05:30,2021-06-13T18:00:00.000+05:30,2021
1059,8,34,French Grand Prix,2023-08-19T21:45:55.991+05:30,2021-06-27T13:00:00.000+05:30,2021
1060,9,70,Austrian Grand Prix,2023-08-19T21:45:55.991+05:30,2021-07-04T13:00:00.000+05:30,2021
1061,10,9,British Grand Prix,2023-08-19T21:45:55.991+05:30,2021-07-18T14:00:00.000+05:30,2021
1062,11,11,Hungarian Grand Prix,2023-08-19T21:45:55.991+05:30,2021-08-01T13:00:00.000+05:30,2021
1063,12,13,Belgian Grand Prix,2023-08-19T21:45:55.991+05:30,2021-08-29T13:00:00.000+05:30,2021
1064,13,39,Dutch Grand Prix,2023-08-19T21:45:55.991+05:30,2021-09-05T13:00:00.000+05:30,2021
1065,14,14,Italian Grand Prix,2023-08-19T21:45:55.991+05:30,2021-09-12T13:00:00.000+05:30,2021
1066,15,71,Russian Grand Prix,2023-08-19T21:45:55.991+05:30,2021-09-26T12:00:00.000+05:30,2021
1067,16,15,Singapore Grand Prix,2023-08-19T21:45:55.991+05:30,2021-10-03T12:00:00.000+05:30,2021
1068,17,22,Japanese Grand Prix,2023-08-19T21:45:55.991+05:30,2021-10-10T05:00:00.000+05:30,2021
1069,18,69,United States Grand Prix,2023-08-19T21:45:55.991+05:30,2021-10-24T19:00:00.000+05:30,2021
1070,19,32,Mexico City Grand Prix,2023-08-19T21:45:55.991+05:30,2021-10-31T19:00:00.000+05:30,2021
1071,20,18,Brazilian Grand Prix,2023-08-19T21:45:55.991+05:30,2021-11-07T17:00:00.000+05:30,2021
1072,22,77,Saudi Arabian Grand Prix,2023-08-19T21:45:55.991+05:30,2021-12-05T16:00:00.000+05:30,2021
1073,23,24,Abu Dhabi Grand Prix,2023-08-19T21:45:55.991+05:30,2021-12-12T13:00:00.000+05:30,2021
989,1,1,Australian Grand Prix,2023-08-19T21:45:55.991+05:30,2018-03-25T05:10:00.000+05:30,2018
990,2,3,Bahrain Grand Prix,2023-08-19T21:45:55.991+05:30,2018-04-08T15:10:00.000+05:30,2018
991,3,17,Chinese Grand Prix,2023-08-19T21:45:55.991+05:30,2018-04-15T06:10:00.000+05:30,2018
992,4,73,Azerbaijan Grand Prix,2023-08-19T21:45:55.991+05:30,2018-04-29T12:10:00.000+05:30,2018
993,5,4,Spanish Grand Prix,2023-08-19T21:45:55.991+05:30,2018-05-13T13:10:00.000+05:30,2018
994,6,6,Monaco Grand Prix,2023-08-19T21:45:55.991+05:30,2018-05-27T13:10:00.000+05:30,2018
995,7,7,Canadian Grand Prix,2023-08-19T21:45:55.991+05:30,2018-06-10T18:10:00.000+05:30,2018
996,8,34,French Grand Prix,2023-08-19T21:45:55.991+05:30,2018-06-24T14:10:00.000+05:30,2018
997,9,70,Austrian Grand Prix,2023-08-19T21:45:55.991+05:30,2018-07-01T13:10:00.000+05:30,2018
998,10,9,British Grand Prix,2023-08-19T21:45:55.991+05:30,2018-07-08T13:10:00.000+05:30,2018
999,11,10,German Grand Prix,2023-08-19T21:45:55.991+05:30,2018-07-22T13:10:00.000+05:30,2018
1000,12,11,Hungarian Grand Prix,2023-08-19T21:45:55.991+05:30,2018-07-29T13:10:00.000+05:30,2018
1001,13,13,Belgian Grand Prix,2023-08-19T21:45:55.991+05:30,2018-08-26T13:10:00.000+05:30,2018
1002,14,14,Italian Grand Prix,2023-08-19T21:45:55.991+05:30,2018-09-02T13:10:00.000+05:30,2018
1003,15,15,Singapore Grand Prix,2023-08-19T21:45:55.991+05:30,2018-09-16T12:10:00.000+05:30,2018
1004,16,71,Russian Grand Prix,2023-08-19T21:45:55.991+05:30,2018-09-30T11:10:00.000+05:30,2018
1005,17,22,Japanese Grand Prix,2023-08-19T21:45:55.991+05:30,2018-10-07T05:10:00.000+05:30,2018
1006,18,69,United States Grand Prix,2023-08-19T21:45:55.991+05:30,2018-10-21T18:10:00.000+05:30,2018
1007,19,32,Mexican Grand Prix,2023-08-19T21:45:55.991+05:30,2018-10-28T19:10:00.000+05:30,2018
1008,20,18,Brazilian Grand Prix,2023-08-19T21:45:55.991+05:30,2018-11-11T17:10:00.000+05:30,2018
1009,21,24,Abu Dhabi Grand Prix,2023-08-19T21:45:55.991+05:30,2018-11-25T13:10:00.000+05:30,2018
1010,1,1,Australian Grand Prix,2023-08-19T21:45:55.991+05:30,2019-03-17T05:10:00.000+05:30,2019
1011,2,3,Bahrain Grand Prix,2023-08-19T21:45:55.991+05:30,2019-03-31T15:10:00.000+05:30,2019
1012,3,17,Chinese Grand Prix,2023-08-19T21:45:55.991+05:30,2019-04-14T06:10:00.000+05:30,2019
1013,4,73,Azerbaijan Grand Prix,2023-08-19T21:45:55.991+05:30,2019-04-28T12:10:00.000+05:30,2019
1014,5,4,Spanish Grand Prix,2023-08-19T21:45:55.991+05:30,2019-05-12T13:10:00.000+05:30,2019
1015,6,6,Monaco Grand Prix,2023-08-19T21:45:55.991+05:30,2019-05-26T13:10:00.000+05:30,2019
1016,7,7,Canadian Grand Prix,2023-08-19T21:45:55.991+05:30,2019-06-09T18:10:00.000+05:30,2019
1017,8,34,French Grand Prix,2023-08-19T21:45:55.991+05:30,2019-06-23T13:10:00.000+05:30,2019
1018,9,70,Austrian Grand Prix,2023-08-19T21:45:55.991+05:30,2019-06-30T13:10:00.000+05:30,2019
1019,10,9,British Grand Prix,2023-08-19T21:45:55.991+05:30,2019-07-14T13:10:00.000+05:30,2019
1020,11,10,German Grand Prix,2023-08-19T21:45:55.991+05:30,2019-07-28T13:10:00.000+05:30,2019
1021,12,11,Hungarian Grand Prix,2023-08-19T21:45:55.991+05:30,2019-08-04T13:10:00.000+05:30,2019
1022,13,13,Belgian Grand Prix,2023-08-19T21:45:55.991+05:30,2019-09-01T13:10:00.000+05:30,2019
1023,14,14,Italian Grand Prix,2023-08-19T21:45:55.991+05:30,2019-09-08T13:10:00.000+05:30,2019
1024,15,15,Singapore Grand Prix,2023-08-19T21:45:55.991+05:30,2019-09-22T12:10:00.000+05:30,2019
1025,16,71,Russian Grand Prix,2023-08-19T21:45:55.991+05:30,2019-09-29T11:10:00.000+05:30,2019
1026,17,22,Japanese Grand Prix,2023-08-19T21:45:55.991+05:30,2019-10-13T05:10:00.000+05:30,2019
1027,18,32,Mexican Grand Prix,2023-08-19T21:45:55.991+05:30,2019-10-27T19:10:00.000+05:30,2019
