result_id,race_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,race_time,milliseconds,fastest_lap,rank,fastest_lap_time,fastest_lap_speed,race_year,race_name,race_date,circuit_location,driver_ref,driver_number,code,driver_name,dob,driver_nationality,constructor_ref,team,nationality,ingestion_date,created_date
20201,809,509,113,49,28,15,15,15,0.0,177,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,rathmann,"",\N,Jim Rathmann,1928-07-16,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
20200,809,702,113,73,19,12,12,12,0.0,190,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,bob_scott,"",\N,Bob Scott,1928-10-04,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
20199,809,520,114,98,6,9,9,9,0.0,196,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,hartley,"",\N,Gene Hartley,1926-01-28,American,kuzma,Kuzma,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
20198,809,521,114,98,6,9,9,9,0.0,196,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,stevenson,"",\N,Chuck Stevenson,1919-10-15,American,kuzma,Kuzma,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
20197,809,513,113,2,25,7,7,7,0.0,200,+8:46.02,14507710,"","",\N,"",1953,Indianapolis 500,"",Indianapolis,johnson,"",\N,Eddie Johnson,1919-02-10,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
20196,809,555,113,59,2,4,4,4,1.5,200,+4:39.24,14260930,"","",\N,"",1953,Indianapolis 500,"",Indianapolis,paul_russo,"",\N,Paul Russo,1914-04-10,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
20195,809,518,113,3,9,3,3,3,2.0,200,+4:11.50,14233190,"","",\N,"",1953,Indianapolis 500,"",Indianapolis,darter,"",\N,Duane Carter,1913-05-05,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19464,809,612,129,32,5,"",R,33,0.0,3,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,linden,"",\N,Andy Linden,1922-04-05,American,stevens,Stevens,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19463,809,512,143,56,33,"",R,32,0.0,6,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,thomson,"",\N,Johnny Thomson,1922-04-09,American,del_roy,Del Roy,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19462,809,702,139,29,11,"",R,31,0.0,14,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,bob_scott,"",\N,Bob Scott,1928-10-04,American,bromme,Bromme,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19461,809,655,113,99,30,"",R,30,0.0,30,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,niday,"",\N,Cal Niday,1914-04-29,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19460,809,521,114,97,16,"",R,29,0.0,42,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,stevenson,"",\N,Chuck Stevenson,1919-10-15,American,kuzma,Kuzma,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19459,809,520,113,41,13,"",R,28,0.0,53,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,hartley,"",\N,Gene Hartley,1926-01-28,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19458,809,528,107,38,15,"",R,27,0.0,76,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,freeland,"",\N,Don Freeland,1925-03-25,American,watson,Watson,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19457,809,593,113,21,8,"",R,26,0.0,86,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,parsons,"",\N,Johnnie Parsons,1918-07-04,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19456,809,555,113,7,17,"",R,25,0.0,89,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,paul_russo,"",\N,Paul Russo,1914-04-10,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19455,809,518,110,4,27,"",R,24,0.0,94,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,darter,"",\N,Duane Carter,1913-05-05,American,lesovsky,Lesovsky,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19454,809,659,113,55,7,"",R,23,0.0,107,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,hoyt,"",\N,Jerry Hoyt,1929-01-29,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19453,809,559,114,77,24,"",R,22,0.0,115,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,flaherty,"",\N,Pat Flaherty,1926-01-06,American,kuzma,Kuzma,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19452,809,673,142,83,23,"",R,21,0.0,146,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,nazaruk,"",\N,Mike Nazaruk,1921-10-02,American,turner,Turner,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19451,809,628,114,51,29,"",R,20,0.0,151,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,sweikert,"",\N,Bob Sweikert,1926-05-20,American,kuzma,Kuzma,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19450,809,677,113,62,18,"",R,19,0.0,166,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,webb,"",\N,Travis Webb,1910-10-08,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19449,809,613,113,22,22,"",R,18,0.0,169,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,teague,"",\N,Marshall Teague,1921-02-22,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19448,809,654,113,23,14,17,17,17,0.0,176,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,faulkner,"",\N,Walt Faulkner,1920-02-16,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19447,809,449,113,92,10,16,16,16,0.0,177,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,ward,"",\N,Rodger Ward,1921-01-10,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19446,809,701,113,49,28,15,15,15,0.0,177,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,holland,"",\N,Bill Holland,1907-12-18,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19445,809,525,134,8,31,14,14,14,0.0,183,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,bryan,"",\N,Jimmy Bryan,1926-01-28,American,schroeder,Schroeder,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19444,809,675,114,88,4,13,13,13,0.0,184,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,ayulo,"",\N,Manny Ayulo,1921-10-20,American,kuzma,Kuzma,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19443,809,700,113,73,19,12,12,12,0.0,190,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,scarborough,"",\N,Carl Scarborough,1914-07-03,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19442,809,699,113,9,26,11,11,11,0.0,191,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,nalon,"",\N,Duke Nalon,1913-03-02,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19441,809,653,113,53,32,10,10,10,0.0,193,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,davies,"",\N,Jimmy Davies,1929-08-08,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19440,809,529,114,98,6,9,9,9,0.0,196,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,bettenhausen,"",\N,Tony Bettenhausen,1916-09-12,American,kuzma,Kuzma,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19439,809,679,129,12,20,8,8,8,0.0,200,+10:04.55,14586240,"","",\N,"",1953,Indianapolis 500,"",Indianapolis,mccoy,"",\N,Ernie McCoy,1921-02-19,American,stevens,Stevens,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19438,809,509,113,2,25,7,7,7,0.0,200,+8:46.02,14507710,"","",\N,"",1953,Indianapolis 500,"",Indianapolis,rathmann,"",\N,Jim Rathmann,1928-07-16,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19437,809,556,113,48,21,6,6,6,0.0,200,+8:10.21,14471900,"","",\N,"",1953,Indianapolis 500,"",Indianapolis,daywalt,"",\N,Jimmy Daywalt,1924-08-28,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19436,809,658,113,5,3,5,5,5,2.0,200,+7:49.64,14451330,"","",\N,"",1953,Indianapolis 500,"",Indianapolis,mcgrath,"",\N,Jack McGrath,1919-10-08,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19435,809,615,113,59,2,4,4,4,1.5,200,+4:39.24,14260930,"","",\N,"",1953,Indianapolis 500,"",Indianapolis,agabashian,"",\N,Fred Agabashian,1913-08-21,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19434,809,611,113,3,9,3,3,3,2.0,200,+4:11.50,14233190,"","",\N,"",1953,Indianapolis 500,"",Indianapolis,hanks,"",\N,Sam Hanks,1914-07-13,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19433,809,656,113,16,12,2,2,2,6.0,200,+3:30.87,14192560,"","",\N,"",1953,Indianapolis 500,"",Indianapolis,cross,"",\N,Art Cross,1918-01-24,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19432,809,657,113,14,1,1,1,1,9.0,200,3:53:01.69,13981690,"","",\N,"",1953,Indianapolis 500,"",Indianapolis,vukovich,"",\N,Bill Vukovich,1918-12-13,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
20209,810,498,105,16,13,3,3,3,2.0,89,\N,"","","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,gonzalez,"",\N,José Froilán González,1922-10-05,Argentine,maserati,Maserati,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19483,810,651,133,38,15,"",R,19,0.0,7,\N,"","","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,macklin,"",\N,Lance Macklin,1919-09-02,British,hwm,HWM,British,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19482,810,456,125,26,11,"",R,18,0.0,14,\N,"","","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,salvadori,"",\N,Roy Salvadori,1922-05-12,British,connaught,Connaught,British,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19481,810,663,87,32,18,"",R,17,0.0,19,\N,"","","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,wharton,"",\N,Ken Wharton,1916-03-21,British,cooper,Cooper,British,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19480,810,498,105,14,5,"",R,16,0.0,22,\N,"","","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,gonzalez,"",\N,José Froilán González,1922-10-05,Argentine,maserati,Maserati,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19479,810,643,128,22,19,"",R,15,0.0,28,\N,"","","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,mieres,"",\N,Roberto Mieres,1924-12-03,Argentine,gordini,Gordini,French,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19478,810,579,105,12,2,"",R,14,0.0,36,\N,"","","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,fangio,"",\N,Juan Fangio,1911-06-24,Argentine,maserati,Maserati,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19477,810,660,125,30,17,"",N,13,0.0,52,\N,"","","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,claes,"",\N,Johnny Claes,1916-08-11,Belgian,connaught,Connaught,British,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19476,810,501,128,20,10,"",R,12,0.0,59,\N,"","","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,schell,"",\N,Harry Schell,1921-06-29,American,gordini,Gordini,French,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19475,810,664,125,28,14,"",R,11,0.0,63,\N,"","","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,mcalpine,"",\N,Kenneth McAlpine,1920-09-21,British,connaught,Connaught,British,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19474,810,633,6,4,4,"",R,10,1.0,67,\N,"","","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,villoresi,"",\N,Luigi Villoresi,1909-05-16,Italian,ferrari,Ferrari,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19473,810,475,125,34,9,9,9,9,0.0,83,\N,"","","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,moss,"",\N,Stirling Moss,1929-09-17,British,connaught,Connaught,British,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19472,810,581,133,36,16,8,8,8,0.0,84,\N,"","","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,collins,"",\N,Peter Collins,1931-11-06,British,hwm,HWM,British,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19471,810,627,6,10,8,7,7,7,0.0,86,\N,"","","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,rosier,"",\N,Louis Rosier,1905-11-05,French,ferrari,Ferrari,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19470,810,427,128,24,12,6,6,6,0.0,87,\N,"","","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,trintignant,"",\N,Maurice Trintignant,1917-10-30,French,gordini,Gordini,French,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19469,810,640,105,18,7,5,5,5,2.0,88,\N,"","","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,graffenried,"",\N,Toulo de Graffenried,1914-05-18,Swiss,maserati,Maserati,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19468,810,578,6,8,6,4,4,4,3.0,89,\N,"","","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,hawthorn,"",\N,Mike Hawthorn,1929-04-10,British,ferrari,Ferrari,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19467,810,697,105,16,13,3,3,3,2.0,89,\N,"","","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,bonetto,"",\N,Felice Bonetto,1903-06-09,Italian,maserati,Maserati,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19466,810,642,6,6,3,2,2,2,6.0,90,+10.4,10426200,"","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,farina,"",\N,Nino Farina,1906-10-30,Italian,ferrari,Ferrari,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19465,810,647,6,2,1,1,1,1,8.0,90,2:53:35.8,10415800,"","",\N,"",1953,Dutch Grand Prix,"",Zandvoort,ascari,"",\N,Alberto Ascari,1918-07-13,Italian,ferrari,Ferrari,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
20210,811,579,105,6,10,"",R,12,0.0,35,\N,"","","",\N,"",1953,Belgian Grand Prix,"",Spa,fangio,"",\N,Juan Fangio,1911-06-24,Argentine,maserati,Maserati,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19503,811,703,144,36,19,"",R,20,0.0,0,\N,"","","",\N,"",1953,Belgian Grand Prix,"",Spa,legat,"",\N,Arthur Legat,1898-11-01,Belgian,veritas,Veritas,German,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19502,811,681,141,34,20,"",R,19,0.0,3,\N,"","","",\N,"",1953,Belgian Grand Prix,"",Spa,georges_berger,"",\N,Georges Berger,1918-09-14,Belgian,simca,Simca,French,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19501,811,581,133,26,16,"",R,18,0.0,4,\N,"","","",\N,"",1953,Belgian Grand Prix,"",Spa,collins,"",\N,Peter Collins,1931-11-06,British,hwm,HWM,British,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19500,811,554,128,16,14,"",R,17,0.0,9,\N,"","","",\N,"",1953,Belgian Grand Prix,"",Spa,behra,"",\N,Jean Behra,1921-02-16,French,gordini,Gordini,French,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19499,811,498,105,2,3,"",R,16,1.0,11,\N,"","","",\N,"",1953,Belgian Grand Prix,"",Spa,gonzalez,"",\N,José Froilán González,1922-10-05,Argentine,maserati,Maserati,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19498,811,579,105,4,1,"",R,15,0.0,13,\N,"","","",\N,"",1953,Belgian Grand Prix,"",Spa,fangio,"",\N,Juan Fangio,1911-06-24,Argentine,maserati,Maserati,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19497,811,642,6,12,4,"",R,14,0.0,16,\N,"","","",\N,"",1953,Belgian Grand Prix,"",Spa,farina,"",\N,Nino Farina,1906-10-30,Italian,ferrari,Ferrari,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19496,811,651,133,22,17,"",R,13,0.0,19,\N,"","","",\N,"",1953,Belgian Grand Prix,"",Spa,macklin,"",\N,Lance Macklin,1919-09-02,British,hwm,HWM,British,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19495,811,660,105,6,10,"",R,12,0.0,35,\N,"","","",\N,"",1953,Belgian Grand Prix,"",Spa,claes,"",\N,Johnny Claes,1916-08-11,Belgian,maserati,Maserati,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19494,811,429,125,40,18,11,11,11,0.0,29,\N,"","","",\N,"",1953,Belgian Grand Prix,"",Spa,andre_pilette,"",\N,André Pilette,1918-10-06,Belgian,connaught,Connaught,British,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19493,811,632,133,24,11,10,10,10,0.0,30,\N,"","","",\N,"",1953,Belgian Grand Prix,"",Spa,frere,"",\N,Paul Frère,1917-01-30,Belgian,hwm,HWM,British,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19492,811,693,128,38,15,9,9,9,0.0,32,\N,"","","",\N,"",1953,Belgian Grand Prix,"",Spa,wacker,"",\N,Fred Wacker,1918-07-10,American,gordini,Gordini,French,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
