result_id,race_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,race_time,milliseconds,fastest_lap,rank,fastest_lap_time,fastest_lap_speed,race_year,race_name,race_date,circuit_location,driver_ref,driver_number,code,driver_name,dob,driver_nationality,constructor_ref,team,nationality,ingestion_date,created_date
20194,808,501,128,28,7,7,7,7,0.0,91,\N,"","","",\N,"",1953,Argentine Grand Prix,"",Buenos Aires,schell,"",\N,Harry Schell,1921-06-29,American,gordini,Gordini,French,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19431,808,698,87,24,13,"",R,16,0.0,20,\N,"","","",\N,"",1953,Argentine Grand Prix,"",Buenos Aires,cruz,"",\N,Adolfo Cruz,1923-06-28,Argentine,cooper,Cooper,British,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19430,808,649,141,34,14,"",R,15,0.0,21,\N,"","","",\N,"",1953,Argentine Grand Prix,"",Buenos Aires,birger,"",\N,Pablo Birger,1924-01-07,Argentine,simca,Simca,French,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19429,808,496,128,32,10,"",R,14,0.0,24,\N,"","","",\N,"",1953,Argentine Grand Prix,"",Buenos Aires,menditeguy,"",\N,Carlos Menditeguy,1914-08-10,Argentine,gordini,Gordini,French,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19428,808,642,6,12,4,"",R,13,0.0,31,\N,"","","",\N,"",1953,Argentine Grand Prix,"",Buenos Aires,farina,"",\N,Nino Farina,1906-10-30,Italian,ferrari,Ferrari,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19427,808,697,105,6,15,"",R,12,0.0,32,\N,"","","",\N,"",1953,Argentine Grand Prix,"",Buenos Aires,bonetto,"",\N,Felice Bonetto,1903-06-09,Italian,maserati,Maserati,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19426,808,579,105,2,2,"",R,11,0.0,36,\N,"","","",\N,"",1953,Argentine Grand Prix,"",Buenos Aires,fangio,"",\N,Juan Fangio,1911-06-24,Argentine,maserati,Maserati,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19425,808,626,128,26,8,"",R,10,0.0,67,\N,"","","",\N,"",1953,Argentine Grand Prix,"",Buenos Aires,manzon,"",\N,Robert Manzon,1917-04-12,French,gordini,Gordini,French,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19424,808,689,87,20,12,9,9,9,0.0,87,\N,"","","",\N,"",1953,Argentine Grand Prix,"",Buenos Aires,alan_brown,"",\N,Alan Brown,1919-11-20,British,cooper,Cooper,British,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19423,808,696,87,22,16,8,8,8,0.0,90,\N,"","","",\N,"",1953,Argentine Grand Prix,"",Buenos Aires,john_barber,"",\N,John Barber,1929-07-22,British,cooper,Cooper,British,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19422,808,427,128,28,7,7,7,7,0.0,91,\N,"","","",\N,"",1953,Argentine Grand Prix,"",Buenos Aires,trintignant,"",\N,Maurice Trintignant,1917-10-30,French,gordini,Gordini,French,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19421,808,554,128,30,11,6,6,6,0.0,94,\N,"","","",\N,"",1953,Argentine Grand Prix,"",Buenos Aires,behra,"",\N,Jean Behra,1921-02-16,French,gordini,Gordini,French,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19420,808,695,105,8,9,5,5,5,2.0,96,\N,"","","",\N,"",1953,Argentine Grand Prix,"",Buenos Aires,galvez,"",\N,Oscar Gálvez,1913-08-17,Argentine,maserati,Maserati,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19419,808,578,6,16,6,4,4,4,3.0,96,\N,"","","",\N,"",1953,Argentine Grand Prix,"",Buenos Aires,hawthorn,"",\N,Mike Hawthorn,1929-04-10,British,ferrari,Ferrari,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19418,808,498,105,4,5,3,3,3,4.0,96,\N,"","","",\N,"",1953,Argentine Grand Prix,"",Buenos Aires,gonzalez,"",\N,José Froilán González,1922-10-05,Argentine,maserati,Maserati,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19417,808,633,6,14,3,2,2,2,6.0,96,\N,"","","",\N,"",1953,Argentine Grand Prix,"",Buenos Aires,villoresi,"",\N,Luigi Villoresi,1909-05-16,Italian,ferrari,Ferrari,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
19416,808,647,6,10,1,1,1,1,9.0,97,3:01:04.6,10864600,"","",\N,"",1953,Argentine Grand Prix,"",Buenos Aires,ascari,"",\N,Alberto Ascari,1918-07-13,Italian,ferrari,Ferrari,Italian,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
20208,809,612,113,55,7,"",R,23,0.0,107,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,linden,"",\N,Andy Linden,1922-04-05,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
20207,809,521,113,55,7,"",R,23,0.0,107,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,stevenson,"",\N,Chuck Stevenson,1919-10-15,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
20206,809,797,113,62,18,"",R,19,0.0,166,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,holmes,"",\N,Jackie Holmes,1920-09-04,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
20205,809,512,113,62,18,"",R,19,0.0,166,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,thomson,"",\N,Johnny Thomson,1922-04-09,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
20204,809,804,113,23,14,17,17,17,0.0,176,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,mantz,"",\N,Johnny Mantz,1918-09-18,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
20203,809,630,113,92,10,16,16,16,0.0,177,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,dinsmore,"",\N,Duke Dinsmore,1913-04-10,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
20202,809,612,113,92,10,16,16,16,0.0,177,\N,"","","",\N,"",1953,Indianapolis 500,"",Indianapolis,linden,"",\N,Andy Linden,1922-04-05,American,kurtis_kraft,Kurtis Kraft,American,2023-08-19T22:44:35.780+05:30,2023-08-20T11:41:03.549+05:30
